Algorytm;Funkcja testowa;Liczba szukanych parametrów;Prawdopobieñstwo mutacji;Prawdopobieñstwo crossover;Liczba iteracji;Rozmiar populacji;Znalezione minimum;Œrednia wartoœæ znalezionych parametrów;Odchylenie standardowe znalezionych parametrów;Wartoœæ funkcji celu;Odchylenie standardowe funkcji celu
GA;Rosenbrock;2;0,1;0,9;80;40;(1,0026925511096954, 1,0054058599279698);(0,9651477802459365, 1,072383717771349);(0,14906575482595438, 0,6229003621103574);7,268077752698862E-06;0,14325752326904787
GA;Rosenbrock;2;0,1;0,9;100;40;(0,9804636362245301, 0,9613089419663834);(0,9631946505118523, 1,04851260442441);(0,12770218866630842, 0,5559772559058845);0,0003816695095674908;0,12295215420986398
GA;Rosenbrock;2;0,1;0,9;1000;40;(1,0006413684064193, 1,0013650720524314);(1,0158783251246357, 1,0557320598704194);(0,02488947341810648, 0,11024829238619482);1,0825057451123816E-06;0,023910374990848127
GA;Rosenbrock;2;0,1;0,9;5;80;(0,9879247956969139, 0,9722194474118274);(1,0152038878610592, 1,0959747859784128);(0,06757900856202614, 0,27480316341137656);0,001571593828502189;0,1077990457352673
GA;Rosenbrock;2;0,1;0,9;10;80;(1,024877585005068, 1,0488351196350874);(1,0525442038255357, 1,189326821319256);(0,0878496708343491, 0,4167066568511802);0,0008557292871747997;0,0920170464178565
GA;Rosenbrock;2;0,1;0,9;20;80;(1,005563763365801, 1,011082494876836);(0,9421479421342726, 0,9430661216150688);(0,05969585698906105, 0,1986794006027024);3,153287003357474E-05;0,06232824744293973
GA;Rosenbrock;2;0,1;0,9;40;80;(1,0051808416477852, 1,0104004120028471);(0,9426396213972611, 0,9296833351241276);(0,04389463516878561, 0,14370359156273357);2,6855251652125455E-05;0,04522135446470815
GA;Rosenbrock;2;0,1;0,9;60;80;(1,0077879271441925, 1,015674617484466);(0,9771420178624147, 1,0074626155765065);(0,055290968347109844, 0,22513702269839564);6,079705698422485E-05;0,053080071149897226
GA;Rosenbrock;2;0,1;0,9;80;80;(0,9993539193208691, 0,9987082560622957);(0,9551870691512068, 0,9408600867032041);(0,030652103646416087, 0,09673505443716557);4,174202439461881E-07;0,03203830079970926
GA;Rosenbrock;2;0,1;0,9;100;80;(1,0005999717366896, 1,0012020887410427);(0,9357951860297773, 0,9054334834711464);(0,03147427127118738, 0,11867405338206524);3,602848149990293E-07;0,034102913591337596
GA;Rosenbrock;2;0,1;0,9;1000;80;(1,0006186792720129, 1,0012377413085392);(1,0036197593503893, 1,0082795033276277);(0,0010552040838089781, 0,004444140037585449);3,8276404161837176E-07;0,0010164233282393368
GA;Sphere;2;0,1;0,9;5;10;(-0,17251364091007204, -0,07768623431433985);(0,41138582881487207, -0,6328803945707955);(3,1192720525843436, 2,0810554778222725);0,0357961073019918;5,510087047868071
GA;Sphere;2;0,1;0,9;10;10;(0,12980541992568412, -0,11220352681201921);(0,4443134021470221, 0,43875917225340383);(2,752419009182227, 1,8927998299615565);0,029439078471138705;4,802881907750548
GA;Sphere;2;0,1;0,9;20;10;(0,007215259969956533, 0,11608497497723971);(0,19114593568323549, -0,5047132606823839);(3,3905216633739204, 3,472568395644371);0,013527781391900428;6,81120780030424
GA;Sphere;2;0,1;0,9;40;10;(7,097895021410464E-05, -0,0014571557644034328);(-0,03664472530553126, -0,029681290081694366);(2,673440106566399, 1,4769092001036253);2,128340933107649E-06;3,9450556562101546
GA;Sphere;2;0,1;0,9;60;10;(0,00028478470079644117, 0,0021532243729235866);(0,07675691331187016, -0,44016298760889655);(3,761813599165063, 1,1630233190211452);4,7174775259598914E-06;4,878230151678854
GA;Sphere;2;0,1;0,9;80;10;(-0,0020924668123106192, -0,00014316342695876606);(0,4107454393111505, 0,21709135600884283);(2,0677102849417004, 2,2738138806403696);4,398913127439942E-06;4,3402884300716345
GA;Sphere;2;0,1;0,9;100;10;(-0,00026860563204970933, -8,080778596498945E-05);(0,19628868203753114, 0,07643742359627241);(2,094982067666908, 1,7647418914057678);7,867888384138739E-08;3,711109687541108
GA;Sphere;2;0,1;0,9;1000;10;(2,0083015280322096E-06, -9,559686014289593E-06);(-1,8638519594924317E-05, -2,5169647344875223E-05);(3,846017579263792E-08, 2,43997759164166E-08);9,542087171930055E-11;6,069785968375758E-08
GA;Sphere;2;0,1;0,9;5;20;(0,02931783572218525, -0,09103350980739644);(0,05413978464017122, -0,25700542017788136);(0,19209276423378233, 0,3563911003309437);0,009146635399286385;0,590042573618183
GA;Sphere;2;0,1;0,9;10;20;(-0,0030469467889521207, 0,007281893014349359);(0,11154783099198803, 0,013272921675337787);(0,6535774040790122, 0,14041879887690636);6,230985060713563E-05;0,7669154818569395
GA;Sphere;2;0,1;0,9;20;20;(-0,00043238939647320153, -0,0014963748793937037);(0,0661950490626556, 0,042752122937115083);(0,17669847896068336, 0,07850154387228925);2,4260983698629807E-06;0,24864955022736157
GA;Sphere;2;0,1;0,9;40;20;(1,8005862799873838E-05, 2,827504669313026E-05);(-0,16519833357451746, -0,08961762439674034);(1,2053484533963204, 0,17011409344492048);1,123689360666577E-09;1,3420112275174916
GA;Sphere;2;0,1;0,9;60;20;(-7,918694829173764E-06, -1,5627428257374888E-06);(-0,06300510524135865, 0,016297423420826775);(0,07870066863236896, 0,005439117823819066);6,51478929369773E-11;0,08416804643001102
GA;Sphere;2;0,1;0,9;80;20;(-2,9463101145128425E-05, 5,840533338767639E-07);(0,06466339840154998, -0,02927157256131812);(0,06375030875940847, 0,0392497825043131);8,684154473848805E-10;0,10288826675358557
GA;Sphere;2;0,1;0,9;100;20;(1,7061370506095253E-06, 6,795602538448304E-08);(-0,00012163489665295659, -0,00031810459477394986);(2,1519395038550798E-07, 1,1681900752179619E-06);2,9155216568486264E-12;1,43020040562337E-06
GA;Sphere;2;0,1;0,9;1000;20;(-4,771432764131455E-08, -3,82485303317766E-07);(6,4351830145413475E-06, 1,979361648734175E-05);(8,07782823534787E-10, 1,3219858373510337E-09);1,4857166431634617E-13;2,456479061920139E-09
GA;Sphere;2;0,1;0,9;5;40;(0,001732860395468716, -0,014842991906580925);(-0,05500782950582288, -0,021717226554822618);(0,09810462645601481, 0,04624924927410829);0,00022331721388901084;0,1406336811797921
GA;Sphere;2;0,1;0,9;10;40;(9,450204929828052E-05, 0,0018002315030021254);(0,0288841768425391, -0,014227934924327803);(0,02369927865713727, 0,004744520137854906);3,249764101722866E-06;0,028058338659324538
GA;Sphere;2;0,1;0,9;20;40;(0,0005419983829233664, 6,857652168918739E-05);(-0,018024663771678454, 0,004096872800975518);(0,005450479939883842, 0,00010658535176917094);2,9846498641853176E-07;0,005620884897899793
GA;Sphere;2;0,1;0,9;40;40;(-2,2909763810741588E-08, -7,1216095628122465E-09);(0,006982059454596859, 0,002283065768570178);(0,0009810831865155398, 0,00010296546639309789);5,755746006291038E-16;0,0010838077637943485
GA;Sphere;2;0,1;0,9;60;40;(-1,6527753257385866E-07, 7,01038034202759E-08);(-5,880739443982607E-05, 0,00010672350139565912);(2,6049008266661076E-08, 1,7921631662426176E-07);3,2231206027691595E-14;2,0985027403732726E-07
GA;Sphere;2;0,1;0,9;80;40;(1,0147446524457754E-10, 1,5911434951756265E-10);(6,037965431238296E-05, -1,1931574106802083E-06);(7,050225276587973E-08, 2,6727913009918635E-08);3,5614443319070067E-20;9,601578376649797E-08
GA;Sphere;2;0,1;0,9;100;40;(6,084258326493305E-16, -4,924675049879644E-23);(2,7821186554788853E-05, -2,1341945598306238E-05);(2,5165838732469964E-08, 1,0954466783500116E-08);3,7018199383503346E-31;3,5543787303409E-08
GA;Sphere;2;0,1;0,9;1000;40;(4,450808966539531E-15, 4,642811793930581E-15);(2,1126430979367002E-07, 1,9347872149089914E-07);(7,794144741608067E-12, 9,229719479106587E-11);4,1365401810489594E-29;9,516883918030258E-11
GA;Sphere;2;0,1;0,9;5;80;(-0,015986373702622403, -0,004412256636404821);(0,02594940991278739, 0,060549560198896867);(0,015465222904873724, 0,01170963042009937);0,00027503215278539553;0,030155731773826144
GA;Sphere;2;0,1;0,9;10;80;(0,0014523884075155619, 0,00122087598713304);(0,0003214565818533896, -0,001256834511405706);(0,00012624889498032612, 0,00038134763069022274);3,5999702622436644E-06;0,0004838996667100986
GA;Sphere;2;0,1;0,9;20;80;(5,107169251831995E-06, 1,8168661032432533E-07);(4,974904638535995E-05, -1,764183561395255E-05);(5,784088340908078E-07, 3,6460948140908816E-08);2,6116187791229322E-11;5,869124951002131E-07
GA;Sphere;2;0,1;0,9;40;80;(-6,200257243391104E-11, -1,321596239061217E-10);(4,551899248753683E-06, 1,2460191529866282E-06);(4,028130775400096E-10, 2,1255750873997215E-11);2,131048517942992E-20;4,251377374937203E-10
GA;Sphere;2;0,1;0,9;60;80;(2,8037408302230765E-13, 5,854507769622369E-13);(-3,0461092662004964E-06, 1,5230225428298348E-05);(1,6602251450089165E-10, 3,715721344306909E-09);4,213622386762867E-25;3,928895214125829E-09
GA;Sphere;2;0,1;0,9;80;80;(-1,3772275075398822E-16, 1,5600017376808268E-16);(-1,2260902693757462E-05, -2,84670055216913E-06);(3,0059168098509507E-09, 1,3852461817631186E-09);4,330361029091715E-32;4,3300382809328735E-09
GA;Sphere;2;0,1;0,9;100;80;(-2,9174711818510504E-19, -2,9217966435588244E-19);(-9,314703208241678E-07, 1,3986282995290696E-07);(8,595671601973834E-12, 4,37099756740127E-12);1,7048533723242976E-37;1,3205534280685066E-11
GA;Sphere;2;0,1;0,9;1000;80;(-2,7602939439250473E-27, -1,0452754413751777E-24);(-3,2205792483997695E-07, 1,2910617884834508E-07);(4,026877919378993E-12, 4,557955724473609E-13);1,0926083675647293E-48;4,37892952960409E-12
GA;Beale;2;0,1;0,9;5;10;(3,6141195493170137, 0,6135539732625995);(0,5135337251474446, 1,0665927073504098);(3,7000336406556853, 0,6241934898384901);0,03451894331486028;2,353790229182332
GA;Beale;2;0,1;0,9;10;10;(2,9211114553257937, 0,47552675648087245);(1,0082810627784493, 0,6344990984709847);(5,700554458810764, 0,5058980082236958);0,0014623790924743142;2,220681337539248
GA;Beale;2;0,1;0,9;20;10;(2,933637560034761, 0,4807173744809159);(1,7056332681656756, 0,3752403996532525);(2,405092729230382, 0,8094431532150681);0,0008772796094926419;2,1631814135867207
GA;Beale;2;0,1;0,9;40;10;(2,7039839016313403, 0,417484797878494);(1,1653174736942968, 0,6062850444444423);(3,869776784033755, 0,510341932241084);0,01981123397875169;1,1261748203922717
GA;Beale;2;0,1;0,9;60;10;(3,1667757533924, 0,5410584562070249);(1,7877666704209993, 0,5681281155369975);(3,155342315436078, 0,4248713243540757);0,003895299938230469;0,7253651557680002
GA;Beale;2;0,1;0,9;80;10;(2,6488973474890307, 0,4149707049355775);(0,14590215517403277, 0,6506654321383393);(7,14706500115841, 1,099788781368082);0,03309855401673432;1,2553480357915476
GA;Beale;2;0,1;0,9;100;10;(2,9163294275268146, 0,478787380352436);(0,7751743791025492, 0,17008292057491156);(3,3375585000409664, 0,6767020288883566);0,0012328136426411895;3,542415357717882
GA;Beale;2;0,1;0,9;1000;10;(2,9868031833682864, 0,49628829111844747);(1,497320906937384, 0,6944883269195745);(7,191683610709263, 0,1322209187801612);3,23078583442233E-05;0,24222506959771742
GA;Beale;2;0,1;0,9;5;20;(2,9637926149323475, 0,4779405424675409);(2,1530285328372103, 0,6112551806645358);(3,5941665343832, 0,2025448910153067);0,003819624710949764;0,5462425703368523
